No.,Exch_AMEX,Exch_NASDAQ,Exch_NYSE
1616,KCNY,CAHEX,FRXB-WT
1617,KDFI,CAIBX,FRX-UN
1618,KDIV,CAKE,FSCO
1619,KDRN,CALA,FSD
1620,KEM,CALB,FSK
1621,KEMQ,CALC,FSKR
1622,KEMX,CALCX,FSLF
1623,KESG,CALD,FSLY
1624,KEUA,CALEX,FSM
1625,KFVG,CALL,FSNB
1626,KFYP,CALM,FSNB-UN
1627,KGHG,CALRX,FSNB-WT
1628,KGRN,CALT,FSPR
1629,KGRO,CALY,FSR
1630,KHYB,CAMAX,FSS
1631,KIE,CAMGX,FST
1632,KIQ,CAMIX,FST-UN
1633,KLCD,CAMMX,FT
1634,KLDW,CAMOX,FTAI-PA
1635,KLIP,CAMP,FTAI-PB
1636,KLNE,CAMSX,FTAI-PC
1637,KLR-WT,CAMT,FTCB
1638,KLXY,CAMYX,FTCH
1639,KMED,CAN,FTEV
1640,KMET,CANC,FTEV-UN
1641,KMLM,CAPR,FTEV-WT
1642,KNAB,CAPT,FTHY
1643,KNOW,CAPTW,FTI
1644,KOCG,CAR,FTK
1645,KOIN,CARA,FTS
1646,KOKU,CARE,FTSI
1647,KOL,CAREX,FTV
1648,KOLD,CARG,FTV-PA
1649,KOMP,CARM,FUBO
1650,KONG,CARMX,FUL
1651,KORP,CART,FUN
1652,KORU,CARV,FUR
1653,KPOP,CARZ,FUSE
1654,KRBN,CASA,FUSE-UN
1655,KRE,CASAX,FVI
1656,KSA,CASH,FVIV
1657,KSCD,CASI,FVIV-UN
1658,KSEA,CASS,FVIV-WT
1659,KSET,CASY,FVRR
1660,KSTR,CATB,FVT
1661,KTEC,CATC,FVT-UN
1662,KULR,CATEX,FVT-WT
1663,KURE,CATH,FXLV
1664,KVLE,CATM,FZT
1665,KWEB,CATY,FZT-UN
1666,KXI,CAVM,FZT-WT
1667,LABD,CBAIX,G
1668,LABS,CBALX,GAB
1669,LABU,CBAN,GAB-PG
1670,LACK,CBAT,GAB-PH
1671,LALT,CBAY,GAB-PK
1672,LBAY,CBDRX,GAM
1673,LBDC,CBDYX,GAM-PB
1674,LBJ,CBECX,GAPA
1675,LCG,CBFV,GAPA-UN
1676,LCLG,CBFVX,GAPA-WT
1677,LCR,CBHAX,GAQ
1678,LCTD,CBIO,GAQ-UN
1679,LCTU,CBLAX,GAQ-WT
1680,LCTX,CBLI,GATO
1681,LD,CBLLX,GATX
1682,LDRS,CBLSX,GB
1683,LDUR,CBMAX,GBAB
1684,LEDD,CBMIX,GBCI
1685,LEMB,CBMSX,GBL
1686,LEND,CBMX,GBLI
1687,LETB,CBNK,GBTG
1688,LEU,CBRG,GBX
1689,LEXI,CBRGU,GCI
1690,LFEQ,CBRGW,GCO
1691,LGH,CBRL,GCP
1692,LGL,CBSH,GCV
1693,LGLV,CBTX,GD
1694,LGL-WT,CBUS,GDDY
1695,LGOV,CCAFX,GDL
1696,LIT,CCAI,GDL-PC
1697,LMLB,CCAIU,GDO
1698,LMLP,CCAIW,GDOT
1699,LNG,CCALX,GDV
1700,LNGG,CCAP,GDV-PH
1701,LODE,CCASX,GDV-PK
1702,LONZ,CCB,GE
1703,LOPP,CCBG,GEF
1704,LOPX,CCCC,GEF-B
1705,LOUP,CCCRX,GEHI
1706,LOWC,CCD,GEL
1707,LOWV,CCDTX,GENI
1708,LQD,CCEL,GEO
1709,LQDB,CCEP,GER
1710,LQDH,CCEPX,GES
1711,LQIG,CCFAX,GETR
1712,LRET,CCGIX,GETY
1713,LRGF,CCGSX,GF
1714,LRND,CCGWW,GFF
1715,LRNZ,CCHRX,GFI
1716,LSAF,CCIZX,GFL
1717,LSAT,CCLAX,GFLU
1718,LSEQ,CCLD,GFOR
1719,LSF,CCLDO,GFOR-UN
1720,LSGR,CCLDP,GFOR-WT
1721,LSST,CCLP,GFR
1722,LSTK,CCMP,GFX
1723,LSVX,CCNC,GFX-UN
1724,LTL,CCNE,GFX-WT
1725,LTPZ,CCNEP,GGB
1726,LUX,CCOI,GGG
1727,LUXX,CCPIX,GGM
1728,LVL,CCRC,GGN
1729,LVOL,CCRN,GGT
1730,MAG,CCSGX,GGT-PE
1731,MAGG,CCSI,GGT-PG
1732,MAIA,CCSMX,GGZ
1733,MAKX,CCSO,GHC
1734,MAPP,CCTS,GHG
1735,MARB,CCTSU,GHI
1736,MATH,CCTSW,GHL
1737,MAYT,CCVAX,GHLD
1738,MAYW,CCXI,GHM
1739,MBG,CD,GHY
1740,MBOX,CDAK,GI
1741,MBSD,CDAQ,GIA
1742,MCF,CDAQU,GIA-UN
1743,MCH,CDAQW,GIA-WT
1744,MCRO,CDC,GIB
1745,MDY,CDEV,GIC
1746,MDYG,CDHAX,GIG
1747,MDYV,CDHIX,GIL
1748,MEDI,CDHRX,GIM
1749,MEM,CDICX,GIMO
1750,MEME,CDIO,GIS
1751,MEMX,CDIOW,GJH
1752,MENV,CDK,GJO
1753,METV,CDL,GJP
1754,MEXX,CDLX,GJR
1755,MFDX,CDMO,GJS
1756,MFEM,CDMOP,GJT
1757,MFLA,CDNA,GKOS
1758,MFUS,CDNS,GL
1759,MGC,CDOCX,GLEO
1760,MGK,CDOFX,GLF
1761,MGLD,CDRO,GLO
1762,MGMT,CDROW,GLOB
1763,MGV,CDSIX,GLOG-PA
1764,MHH,CDT,GLOP
1765,MID,CDTTW,GLOP-PA
1766,MIDE,CDTX,GLOP-PB
1767,MIDF,CDW,GLOP-PC
1768,MIDU,CDXC,GLP
1769,MIDZ,CDXS,GL-PD
1770,MIMO,CDZI,GLP-PA
1771,MIMO-WT,CDZIP,GLP-PB
1772,MINC,CEAD,GLQ
1773,MINO,CEADW,GLS
1774,MINT,CECE,GLS-WT
1775,MINV,CECO,GLT
1776,MISL,CEFA,GLU
1777,MITQ,CEG,GLV
1778,MJ,CELC,GLW
1779,MJIN,CELH,GM
1780,MJJ,CELU,GME
1781,MJO,CELUW,GMED
1782,MJUS,CELZ,GMRE
1783,MJXL,CEMDX,GMRE-PA
1784,MLPA,CEMI,GMS
1785,MLPB,CENH,GMTA
1786,MLPC,CENHW,GNE
1787,MLPE,CENN,GNE-PA
1788,MLPG,CENQ,GNK
1789,MLPI,CENQU,GNL
1790,MLPO,CENQW,GNL-PA
1791,MLPQ,CENT,GNL-PB
1792,MLPR,CENTA,GNL-PD
1793,MLPS,CENX,GNPK-UN
1794,MLPX,CERC,GNRC
1795,MLPY,CERE,GNT
1796,MLPZ,CERN,GNT-PA
1797,MLSS,CERS,GNW
1798,MLTI,CERT,GOAC
1799,MMCA,CETC,GOAC-UN
1800,MMIN,CETX,GOF
1801,MMIT,CETXP,GOGN
1802,MMLG,CETXW,GOGN-UN
1803,MMSB,CEVA,GOGN-WT
1804,MMSC,CEY,GOL
1805,MMTM,CEYIX,GOLD
1806,MMX,CEYRX,GOLF
1807,MNA,CEZ,GOOS
1808,MNBD,CFA,GOTU
1809,MNK,CFACU,GPC
1810,MNM,CFAIX,GPI
1811,MOM,CFB,GPJA
1812,MOO,CFBK,GPK
1813,MOOD,CFFE,GPM
1814,MOON,CFFEU,GPMT
1815,MORE,CFFEW,GPMT-PA
1816,MORL,CFFI,GPN
1817,MORT,CFFN,GPOR
1818,MOTO,CFFS,GPRK
1819,MPAY,CFFSU,GPS
1820,MPTI,CFFSW,GPT
1821,MRAD,CFFVW,GPX
1822,MRND,CFHAX,GRBK
1823,MRRL,CFHIX,GRBK-PA
1824,MSFO,CFIMX,GRC
1825,MSGR,CFIV,GRMN
1826,MSN,CFIVU,GRND
1827,MSOS,CFIVW,GRND-WT
1828,MSOX,CFLT,GRNT
1829,MSTI,CFMOX,GRNT-WT
1830,MTA,CFMS,GROV
1831,MTGP,CFNAX,GROV-WT
1832,MTMT,CFNL,GROY-WT
1833,MTNB,CFNLX,GRP-UN
1834,MTUL,CFO,GRX
1835,MTVR,CFRIX,GS
1836,MUB,CFRX,GSAH
1837,MUNI,CFSB,GSAH-UN
1838,MUSI,CFV,GSBD
1839,MUSQ,CFVI,GSK
1840,MUST,CFVIU,GSL
1841,MUTE,CFVIW,GSLD
1842,MVIN,CFVLX,GSL-PB
1843,MVP,CFWAX,GS-PA
1844,MVPS,CFWCX,GS-PC
1845,MVRL,CFWIX,GS-PD
1846,MVV,CG,GS-PJ
1847,MXC,CGABL,GS-PK
1848,MXDE,CGBD,GSQB
1849,MXDU,CGBDL,GSQB-UN
1850,MXI,CGC,GSQB-WT
1851,MYO,CGEM,GSQD
1852,MYY,CGEN,GSQD-UN
1853,MZZ,CGIIX,GSQD-WT
1854,NACP,CGJAX,GTES
1855,NAIL,CGJIX,GTLS
1856,NAK,CGMRX,GTLS-PB
1857,NANR,CGNT,GTN
1858,NAVB,CGNX,GTN-A
1859,NBCC,CGO,GTS
1860,NBCE,CGOAX,GTT
1861,NBCM,CGRN,GTY
1862,NBCT,CGTUX,GUG
1863,NBDS,CGTX,GUT
1864,NBGR,CHASX,GUT-PC
1865,NBW,CHB,GVA
1866,NBY,CHCGX,GWB
1867,NDIA,CHCI,GWH
1868,NDIV,CHCLX,GWH-WT
1869,NDJI,CHCO,GWRE
1870,NDVG,CHDEX,GWW
1871,NEED,CHDN,GXO
1872,NEN,CHEA,GXP
1873,NERD,CHEAU,GYC
1874,NES,CHEAW,H
1875,NETL,CHEF,HAE
1876,NEWP,CHEK,HAL
1877,NFGC,CHEKZ,HASI
1878,NFLT,CHEV,HAYW
1879,NFLY,CHFN,HBB
1880,NFO,CHG,HBI
1881,NFRA,CHI,HBM
1882,NFTZ,CHK,HCA
1883,NG,CHKEL,HCC
1884,NGD,CHKEW,HCHC
1885,NGE,CHKEZ,HCI
1886,NHC,CHKP,HCXY
1887,NHS,CHMA,HCXZ
1888,NHWK,CHMG,HD
1889,NIB,CHNA,HDB
1890,NIFE,CHNAX,HE
1891,NILE,CHNG,HEI
1892,NILE-PD,CHNGU,HEI-A
1893,NINI,CHNR,HEP
1894,NIWM,CHPM,HEQ
1895,NLR,CHPMU,HES
1896,NML,CHPMW,HESM
1897,NNVC,CHPS,HFC
1898,NOPE,CHRD,HFRO
1899,NORW,CHRS,HFRO-PA
1900,NRGD,CHRW,HGH
1901,NRGO,CHSCL,HGLB
1902,NRGU,CHSCM,HGTY
1903,NRGZ,CHSCN,HGTY-WT
1904,NRSH,CHSCO,HGV
1905,NSCS,CHSCP,HHC
1906,NSPI,CHSN,HHLA
1907,NSPL,CHTR,HHLA-UN
1908,NSPY,CHTTX,HHLA-WT
1909,NTIP,CHUY,HI
1910,NTKI,CHW,HIE
1911,NTRL,CHWA,HIG
1912,NTSE,CHWAU,HIGA
1913,NTSI,CHWAW,HIGA-UN
1914,NTSX,CHX,HIGA-WT
1915,NTZO,CHY,HIG-PG
1916,NUAG,CIBFX,HII
1917,NUBD,CIBR,HIL
1918,NUGO,CID,HIMS
1919,NUGT,CIDM,HIO
1920,NUHY,CIFC,HIPO
1921,NUSA,CIFR,HIPO-WT
1922,NUSI,CIFRW,HIW
1923,NVBT,CIGAX,HIX
1924,NVBW,CIGI,HKD
1925,NVDY,CIGRX,HKIB
1926,NVIR,CIGYX,HL
1927,NVQ,CIH,HLF
1928,NWLG,CIHDX,HLGN
1929,NXTE,CIIG,HLGN-WT
1930,NYF,CIIGU,HLI
1931,OACP,CIIGW,HLIO
1932,OAEM,CIL,HLLY
1933,OAIA,CILGX,HLLY-WT
1934,OAIB,CIMDX,HLN
1935,OAIE,CINC,HL-PB
1936,OAIM,CINF,HLT
1937,OALC,CING,HLX
1938,OARK,CINGW,HMA
1939,OBE,CIPDX,HMA-UN
1940,OBOR,CIPIX,HMA-WT
1941,OCEN,CIPMX,HMC
1942,OCIO,CIPNX,HMLP
1943,OCTT,CIPSX,HMLP-PA
1944,OCTW,CIRAX,HMN
1945,OEF,CIRC,HMY
1946,OGCP,CISGX,HNGR
1947,OGEN,CISIX,HNI
1948,OIH,CISMX,HNP
1949,OIIL,CISO,HNR
1950,OIL,CISS,HNW
1951,OILD,CITE,HOG
1952,OILU,CITEU,HOMB
1953,OILX,CITEW,HOME
1954,OLEM,CIVB,HOT
1955,OND,CIVIX,HOUS
1956,ONEO,CIVVX,HOV
1957,ONEV,CIZ,HP
1958,ONEY,CIZN,HPE
1959,ONG,CJET,HPF
1960,ONLN,CJJD,HPI
1961,ONOF,CKEC,HPP
1962,OOTO,CKPT,HPP-PC
1963,OPER,CLAC,HPQ
1964,OPPX,CLACX,HPS
1965,OPTT,CLAQ,HPX
1966,ORFN,CLAQR,HPX-UN
1967,ORLA,CLAQU,HPX-WT
1968,OSEA,CLAQW,HPY
1969,OUNZ,CLAR,HQH
1970,OVB,CLAY,HQL
1971,OVF,CLAYU,HR
1972,OVL,CLAYW,HRB
1973,OVLH,CLBH,HRC
1974,OVM,CLBK,HRI
1975,OVS,CLBS,HRL
1976,OVT,CLBT,HRT
1977,OWNS,CLBTW,HRTG
1978,OZ,CLCRX,HSBC
1979,PAB,CLDB,HSC
1980,PACA,CLDIX,HSY
1981,PAK,CLDX,HT
1982,PALC,CLERX,HTA
1983,PALL,CLEU,HTAQ
1984,PAMC,CLFD,HTAQ-UN
1985,PAPI,CLFFX,HTAQ-WT
1986,PASS,CLFLX,HTD
1987,PBD,CLGN,HTFA
1988,PBDC,CLIFX,HTFB
1989,PBE,CLIN,HTFC
1990,PBJ,CLINR,HTGC
1991,PBP,CLINU,HTH
1992,PBS,CLINW,HTPA
1993,PBUG,CLIR,HTPA-UN
1994,PBW,CLLS,HTPA-WT
1995,PCEF,CLMAX,HT-PC
1996,PCGG,CLMB,HT-PD
1997,PCG-PA,CLMS,HT-PE
1998,PCG-PB,CLMT,HTS
1999,PCG-PC,CLNCX,HTY
2000,PCG-PD,CLNE,HUBB
2001,PCG-PE,CLNN,HUBS
2002,PCG-PG,CLNNW,HUGS
2003,PCG-PH,CLOA,HUGS-UN
2004,PCG-PI,CLOAX,HUGS-WT
2005,PCRB,CLOD,HUM
2006,PCY,CLOE,HUN
2007,PDN,CLOER,HUYA
2008,PED,CLOEU,HVT
2009,PEJ,CLOU,HVT-A
2010,PEK,CLOV,HW
2011,PEMX,CLPS,HWKZ
2012,PEXL,CLPT,HWKZ-UN
2013,PFFA,CLRB,HWM
2014,PFFD,CLRC,HXL
2015,PFFL,CLRCR,HY
2016,PFFR,CLRCU,HYB
2017,PFFV,CLRCW,HYI
2018,PFIG,CLREX,HYLN
2019,PFIX,CLRG,HYT
2020,PFLD,CLRM,HZAC
2021,PFRL,CLRMU,HZN
2022,PFUT,CLRMW,HZO
2023,PFXF,CLRO,HZON
2024,PGAL,CLSAX,HZON-UN
2025,PGF,CLSD,HZON-WT
2026,PGHY,CLSHX,IAA
2027,PGM,CLSK,IACA
2028,PGMB,CLSN,IACC
2029,PGRO,CLST,IAE
2030,PGX,CLVR,IAF
2031,PHB,CLVRW,IAG
2032,PHDG,CLVS,IBA
2033,PHEQ,CLWT,IBER
2034,PHGE,CLXRX,IBER-UN
2035,PHGE-UN,CLXT,IBER-WT
2036,PHGE-WT,CMAAX,IBM
2037,PHYD,CMAX,IBN
2038,PHYL,CMAXW,IBO
2039,PICB,CMBM,IBP
2040,PIFI,CMCA,ICD
2041,PILL,CMCAU,ICE
2042,PIN,CMCAW,ICL
2043,PINK,CMCAX,ICNC
2044,PJP,CMCO,ICNC-UN
2045,PKB,CMCSA,ICNC-WT
2046,PLAG,CMCT,ICR-PA
2047,PLAT,CMCTP,IDA
2048,PLDR,CME,IDE
2049,PLG,CMGIX,IDT
2050,PLM,CMIDX,IEX
2051,PLTM,CMII,IFF
2052,PLX,CMIIU,IFFT
2053,PLYM-PA,CMIIW,IFIN
2054,PMR,CMJAX,IFIN-UN
2055,POL,CMJIX,IFIN-WT
2056,PP,CMLF,IFN
2057,PPA,CMLFU,IFS
2058,PPDM,CMLS,IGA
2059,PPEM,CMLT,IGD
2060,PPI,CMLTU,IGI
2061,PPIE,CMMB,IGR
2062,PPLC,CMND,IGT
2063,PPLN,CMNWX,IGZ
2064,PPLT,CMPI,IH
2065,PPMC,CMPO,IHC
2066,PPSC,CMPOW,IHD
2067,PPTY,CMPR,IHG
2068,PQDI,CMPS,IHIT
2069,PQIN,CMPX,IHS
2070,PQLC,CMRA,IHTA
2071,PQSG,CMRAW,IIAC
2072,PQSV,CMRX,IIAC-UN
2073,PRAY,CMTFX,IIF
2074,PREF,CMTL,IIIN
2075,PRF,CNBKA,IIM
2076,PRFD,CNCE,IIPR
2077,PRK,CNCR,IIPR-PA
2078,PSDN,CNDT,IL
2079,PSI,CNET,IMAX
2080,PSIL,CNEY,IMPR
2081,PSJ,CNFR,IMPX
2082,PSK,CNFRL,IMPX-WT
2083,PSP,CNFRZ,IMS
2084,PSQ,CNGL,INAQ
2085,PSR,CNGLU,INAQU
2086,PST,CNGLW,INAQ-UN
2087,PSTP,CNGLX,INAQ-WT
2088,PSY,CNJFX,INFA
2089,PSYK,CNNB,INFO
2090,PTBD,CNOB,INFY
2091,PTIN,CNOBP,ING
2092,PTM,CNPIX,INGR
2093,PTN,CNPSX,INN
2094,PTRB,CNREX,INN-PE
2095,PULS,CNSL,INN-PF
2096,PULT,CNSP,INSI
2097,PUTW,CNST,INSP
2098,PVAL,CNTA,INST
2099,PVI,CNTB,INSW
2100,PW,CNTG,INT
2101,PWB,CNTQ,INVH
2102,PWC,CNTQU,INVN
2103,PWER,CNTQW,IO
2104,PW-PA,CNTX,IONQ
2105,PWV,CNTY,IONQ-WT
2106,PWZ,CNWGX,IOT
2107,PXE,CNXA,IP
2108,PXF,CNXC,IPG
2109,PXH,CNXN,IPI
2110,PXJ,CNZLX,IPOD
2111,PXLV,COB,IPOD-UN
2112,PXQ,COBZ,IPOD-WT
2113,PYLD,COCH,IPOF
2114,PYPE,COCO,IPOF-UN
2115,PYPY,COCP,IPOF-WT
2116,PZA,CODA,IPVA
2117,PZD,CODX,IPVA-UN
2118,PZG,COEPW,IPVA-WT
2119,PZT,COFS,IPVF
2120,QAI,COFYX,IPVF-UN
2121,QARP,COGLX,IPVF-WT
2122,QDEF,COGMX,IQI
2123,QDF,COGRX,IQV
2124,QDIV,COGT,IR
2125,QDPL,COGVX,IRL
2126,QDYN,COHR,IRM
2127,QED,COHU,IRNT
2128,QEFA,COIN,IRNT-WT
2129,QEMM,COKE,IRRX
2130,QGRO,COLB,IRRX-UN
2131,QGRW,COLI,IRRX-WT
2132,QGTA,COLIU,IRS
2133,QID,COLIW,IRS-WT
2134,QINT,COLL,IRT
2135,QIS,COLM,IS
2136,QLD,COMM,ISD
2137,QLS,COMS,IT
2138,QLTA,COMSP,ITCB
2139,QLTY,COMSW,ITGR
2140,QLV,COMT,ITT
2141,QLVD,CONE,ITUB
2142,QLVE,CONL,ITW
2143,QMJ,CONN,IVAN
2144,QMN,CONX,IVAN-UN
2145,QPT,CONXU,IVC
2146,QPX,CONXW,IVH
2147,QQH,COOL,IVR
2148,QQQE,COOLU,IVR-PA
2149,QRFT,COOLW,IVR-PB
2150,QSWN,COOP,IVR-PC
2151,QSY,COPJ,IVT
2152,QTUM,CORI,IVZ
2153,QULL,CORRX,IX
2154,QUS,CORT,J
2155,QVM,CORZ,JATT
2156,QVML,CORZW,JATT-UN
2157,QVMM,COSI,JATT-WT
2158,QVMS,COSIX,JBGS
2159,QWLD,COSM,JBI
2160,QWST,COST,JBK
2161,RAAX,COTZX,JBL
2162,RAFE,COUP,JBR
2163,RALS,COVA,JBT
2164,RATE,COVAU,JCE
2165,RAVI,COVAW,JCI
2166,RAYC,COVAX,JCO
2167,RAYD,COVS,JDD
2168,RAYE,COWG,JE
2169,RBIN,COWN,JEF
2170,RBLD,COWNL,JELD
2171,RBND,COWS,JEMD
2172,RBUS,COYA,JEQ
2173,RCD,CPAA,JFR
2174,RCG,CPAAU,JGH
2175,RCOR,CPAAW,JHAA
2176,RDIV,CPAQ,JHB
2177,RDMX,CPAQU,JHG
2178,RDOG,CPAQW,JHI
2179,RECS,CPAR,JHS
2180,REDV,CPARU,JHX
2181,REET,CPARW,JILL
2182,REI,CPATX,JKS
2183,REK,CPBI,JLL
2184,REMG,CPDIX,JLS
2185,REML,CPEAX,JMIA
2186,REMX,CPECX,JMM
2187,RENW,CPEIX,JMP
2188,REPX,CPHC,JMPD
2189,RESI,CPHD,JNJ
2190,RESP,CPITX,JNPR
2191,RETL,CPIX,JNS
2192,REVS,CPLA,JOBY
2193,REW,CPLP,JOBY-WT
2194,REZ,CPLS,JOE
2195,RFCI,CPLSX,JOF
2196,RFDA,CPOAX,JOY
2197,RFFC,CPODX,JP
2198,RFG,CPOP,JPC
2199,RFUN,CPRT,JPI
2200,RFV,CPRX,JPM
2201,RGI,CPSH,JPM-PC
2202,RHCB,CPSI,JPM-PD
2203,RHE,CPSS,JPM-PJ
2204,RHE-PA,CPTA,JPM-PK
2205,RHRX,CPTAG,JPM-PL
2206,RHS,CPTAL,JPM-PM
2207,RHTX,CPTN,JPS
2208,RIDV,CPTNW,JPT
2209,RIET,CPTNX,JQC
2210,RIGS,CPXAX,JRI
2211,RIGZ,CPZ,JRO
2212,RINC,CRAAX,JRS
2213,RINF,CRAI,JSD
2214,RISE,CRATX,JT
2215,RISN,CRBP,JTA
2216,RISR,CRBU,JTD
2217,RITA,CRCT,JULD
2218,RJA,CRDF,JULH
2219,RJI,CRDL,JUN
2220,RJN,CRDO,JUN-UN
2221,RJZ,CRDS,JUN-WT
2222,RLGT,CREC,JW-A
2223,RLY,CRECU,JW-B
2224,RMED,CRECW,JWN
2225,RNWZ,CREE,JWSM
2226,ROAM,CREG,JWSM-UN
2227,ROBO,CRESW,JWSM-WT
2228,RODM,CRESY,JXN
2229,ROKT,CREV,JXN-PA
2230,ROLA,CREVW,K
2231,ROM,CREX,KAHC
2232,ROOF,CREXW,KAHC-UN
2233,RORE,CRGE,KAHC-WT
2234,RORO,CRGO,KAI
2235,ROSC,CRGX,KAMN
2236,ROUS,CRIS,KAR
2237,RPAR,CRKN,KATE
2238,RPG,CRMAX,KB
2239,RPV,CRMD,KBH
2240,RRH,CRMEX,KBR
2241,RSHO,CRMMX,KCAC-UN
2242,RSP,CRMSX,KCAC-WT
2243,RSPE,CRMT,KCA-UN
2244,RSPF,CRNC,KCG
2245,RSPG,CRNT,KCGI
2246,RSPY,CRNX,KCGI-UN
2247,RTLA,CRON,KCGI-WT
2248,RTM,CROX,KD
2249,RTYD,CRSA,KDMN
2250,RUFF,CRSAU,KEN
2251,RUSL,CRSAW,KEP
2252,RUSS,CRSP,KEX
2253,RVNU,CRSR,KEY
2254,RVP,CRTD,KEY-PI
2255,RWCD,CRTO,KEY-PJ
2256,RWDC,CRTX,KEY-PK
2257,RWDE,CRUS,KEY-PL
2258,RWED,CRVL,KEYS
2259,RWGV,CRVO,KF
2260,RWIU,CRVS,KFS
2261,RWJ,CRWD,KFY
2262,RWK,CRWS,KGC
2263,RWL,CRXT,KGS
2264,RWLS,CRZN,KIM
2265,RWM,CRZNU,KIM-PL
2266,RWO,CRZNW,KIM-PM
2267,RWR,CSA,KIND
2268,RWSL,CSB,KIO
2269,RWUI,CSBK,KKD
2270,RWVG,CSBR,KKR
2271,RWW,CSCCX,KKR-PC
2272,RWX,CSCD,KKRS
2273,RXD,CSCO,KL
2274,RXI,CSCVX,KLDX
2275,RXL,CSCW,KLG
2276,RYE,CSERX,KLR
2277,RYF,CSF,KMB
2278,RYH,CSGCX,KMF
2279,RYJ,CSGP,KMG
2280,RYLD,CSGS,KMI
2281,RYLG,CSGZX,KMPA
2282,RYT,CSIEX,KMPB
2283,RYU,CSII,KMPR
2284,RYZZ,CSIQ,KMT
2285,RZG,CSJZX,KMX
2286,RZV,CSLM,KN
2287,SAA,CSLMR,KND
2288,SACC,CSLMU,KNF
2289,SACH,CSLMW,KNOP
2290,SACH-PA,CSLR,KNSL
2291,SAEF,CSML,KNSW
2292,SAGG,CSMVX,KNSW-UN
2293,SAGP,CSMZX,KNSW-WT
2294,SAMT,CSOD,KNW
2295,SAVN,CSPI,KNX
2296,SBB,CSQ,KO
2297,SBEV,CSRIX,KODK
2298,SBEV-WT,CSRSX,KOF
2299,SBIO,CSRYX,KOP
2300,SBM,CSSE,KORE
2301,SBND,CSSEL,KORE-WT
2302,SBUG,CSSEN,KOS
2303,SBV,CSSEP,KR
2304,SCAP,CSSPX,KRA
2305,SCC,CSSZX,KRC
2306,SCCB,CSTE,KREF
2307,SCCC,CSTL,KREF-PA
2308,SCCD,CSTR,KRG
2309,SCCE,CSUAX,KRO
2310,SCDL,CSVIX,KRP
2311,SCHA,CSVYX,KS
2312,SCHB,CSVZX,KSM
2313,SCHC,CSWC,KSS
2314,SCHD,CSWCZ,KSU
2315,SCHE,CSWI,KSU-P
2316,SCHF,CSX,KT
2317,SCHG,CSXAX,KTB
2318,SCHH,CSXCX,KTF
2319,SCHI,CTAC,KTH
2320,SCHJ,CTAQ,KTN
2321,SCHK,CTAQU,KUKE
2322,SCHM,CTAQW,KVUE
2323,SCHO,CTAS,KVYO
2324,SCHP,CTBI,KW
2325,SCHQ,CTCAX,KWAC-UN
2326,SCHR,CTCT,KWR
2327,SCHV,CTCX,KYN
2328,SCHX,CTEC,L
2329,SCHY,CTFAX,LAAC
2330,SCHZ,CTG,LAC
2331,SCID,CTHCX,LAD
2332,SCIF,CTHR,LADR
2333,SCIJ,CTHRX,LAIX
2334,SCIN,CTIB,LANV
2335,SCIU,CTIC,LAW
2336,SCIX,CTKB,LAZ
2337,SCJ,CTLP,LB
2338,SCMB,CTMX,LBRT
2339,SCO,CTNT,LC
2340,SCOM,CTORX,LCI
2341,SCRD,CTRM,LCII
2342,SCYB,CTRN,LCW
2343,SDAG,CTSH,LCW-UN
2344,SDCI,CTSO,LCW-WT
2345,SDCP,CTXR,LDI
2346,SDD,CTXRW,LDOS
2347,SDEF,CTXS,LDP
2348,SDEI,CTYRX,LDR
2349,SDEM,CU,LEA
2350,SDGA,CUBA,LEAP
2351,SDGS,CUBAX,LEAP-UN
2352,SDIV,CUE,LEG
2353,SDOG,CUEN,LEJU
2354,SDOW,CUENW,LEN
2355,SDP,CUHAX,LEN-B
2356,SDPI,CUHCX,LEO
2357,SDS,CULAX,LEV
2358,SDY,CULL,LEVI
2359,SDYL,CUNB,LFC
2360,SEA,CURI,LFG
2361,SEB,CURIW,LFT
2362,SEF,CUSRX,LFT-PA
2363,SEIX,CUTR,LGF
2364,SEMI,CVAC,LGF-A
2365,SENS,CVBF,LGF-B
2366,SENT,CVCO,LGI
2367,SEPT,CVCY,LGV
2368,SEPW,CVET,LGV-UN
2369,SESG,CVGI,LGV-WT
2370,SETH,CVGW,LH
2371,SFLA,CVKD,LHC
2372,SFLR,CVLEX,LHC-UN
2373,SFY,CVLG,LHC-WT
2374,SFYF,CVLOX,LHO
2375,SFYX,CVLT,LHX
2376,SGAR,CVLY,LICY
2377,SGDJ,CVMAX,LII
2378,SGDM,CVMIX,LIN
2379,SGG,CVON,LINX
2380,SGGB,CVRX,LITB
2381,SGLC,CVSIX,LJIM
2382,SGOL,CVT,LL
2383,SGOV,CVTCX,LLAP
2384,SH,CVTRX,LLAP-WT
2385,SHE,CVV,LLY
2386,SHFT,CWAY,LMHA
2387,SHM,CWBC,LMHB
2388,SHNY,CWBR,LMND
2389,SHOC,CWCO,LMT
2390,SHPP,CWD,LNC
2391,SHRT,CWGFX,LND
2392,SHUS,CWGIX,LNFA
2393,SHYG,CWIAX,LNFA-UN
2394,SHYL,CWMAX,LNFA-WT
2395,SIFI,CWST,LNN
2396,SIHY,CWVGX,LOCC
2397,SIJ,CWVIX,LOCC-UN
2398,SIL,CXAI,LOCC-WT
2399,SILJ,CXDO,LOCK
2400,SILV,CXSE,LOCL
